"left"	"op"	"right"	"expected_class"	"actual_class"	"truth_ok"	"class_ok"	"warnings"	"error"
"raw_false"	"&"	"CnfFormula_FALSE_owned"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"raw_false"	"|"	"CnfFormula_FALSE_owned"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"raw_false"	"&"	"CnfFormula_TRUE_free"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"raw_false"	"|"	"CnfFormula_TRUE_free"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"raw_false"	"&"	"CnfFormula_TRUE_owned"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"raw_false"	"|"	"CnfFormula_TRUE_owned"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"CnfAtom_FALSE_free"	"&"	"atom"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"CnfAtom_FALSE_free"	"|"	"atom"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"CnfAtom_FALSE_free"	"&"	"clause"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"CnfAtom_FALSE_free"	"|"	"clause"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"CnfAtom_FALSE_free"	"&"	"formula"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"CnfAtom_FALSE_free"	"|"	"formula"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"CnfAtom_FALSE_free"	"&"	"raw_true"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"CnfAtom_FALSE_free"	"|"	"raw_true"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"CnfAtom_FALSE_free"	"&"	"raw_false"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"CnfAtom_FALSE_free"	"|"	"raw_false"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"CnfAtom_FALSE_free"	"&"	"CnfAtom_FALSE_free"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"CnfAtom_FALSE_free"	"|"	"CnfAtom_FALSE_free"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"CnfAtom_FALSE_free"	"&"	"CnfAtom_FALSE_owned"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
